"","obsHalfHour","eecaCircuit","year","season","davgW"
"1",00:00:00,"Heat Pump or Heating",2014,"Autumn",370.046589453861
"2",00:00:00,"Heat Pump or Heating",2014,"Spring",106.723126999274
"3",00:00:00,"Heat Pump or Heating",2014,"Summer",48.2643110181311
"4",00:00:00,"Heat Pump or Heating",2014,"Winter",212.768829351536
"5",00:00:00,"Heat Pump or Heating",2015,"Autumn",65.0666234655559
"6",00:00:00,"Heat Pump or Heating",2015,"Spring",52.4757799312421
"7",00:00:00,"Heat Pump or Heating",2015,"Summer",9.09556270727562
"8",00:00:00,"Heat Pump or Heating",2015,"Winter",105.640184775936
"9",00:00:00,"Heat Pump or Heating",2016,"Autumn",8.90628636363637
"10",00:00:00,"Heat Pump or Heating",2016,"Spring",14.8077549986256
"11",00:00:00,"Heat Pump or Heating",2016,"Summer",1.57649553322166
"12",00:00:00,"Heat Pump or Heating",2016,"Winter",58.7597970931055
"13",00:00:00,"Heat Pump or Heating",2017,"Autumn",16.8226873938158
"14",00:00:00,"Heat Pump or Heating",2017,"Spring",20.2804762792887
"15",00:00:00,"Heat Pump or Heating",2017,"Summer",5.98371369450715
"16",00:00:00,"Heat Pump or Heating",2017,"Winter",80.0766709331537
"17",00:00:00,"Heat Pump or Heating",2018,"Autumn",44.4423508216448
"18",00:00:00,"Heat Pump or Heating",2018,"Summer",16.8960734723823
"19",00:00:00,"Heat Pump or Heating",2018,"Winter",103.059535833333
"20",00:00:00,"Hot water",2014,"Autumn",115.856846702317
"21",00:00:00,"Hot water",2014,"Spring",167.50158185859
"22",00:00:00,"Hot water",2014,"Summer",116.517151666667
"23",00:00:00,"Hot water",2014,"Winter",164.321900947459
"24",00:00:00,"Hot water",2015,"Autumn",120.255695193836
"25",00:00:00,"Hot water",2015,"Spring",127.299934045851
"26",00:00:00,"Hot water",2015,"Summer",118.07946595533
"27",00:00:00,"Hot water",2015,"Winter",161.45410395615
"28",00:00:00,"Hot water",2016,"Autumn",114.561373217162
"29",00:00:00,"Hot water",2016,"Spring",115.844269924626
"30",00:00:00,"Hot water",2016,"Summer",101.255901802839
"31",00:00:00,"Hot water",2016,"Winter",111.339704217376
"32",00:00:00,"Hot water",2017,"Autumn",99.9116238782175
"33",00:00:00,"Hot water",2017,"Spring",124.367256499302
"34",00:00:00,"Hot water",2017,"Summer",80.9443034413464
"35",00:00:00,"Hot water",2017,"Winter",127.146722376497
"36",00:00:00,"Hot water",2018,"Autumn",92.9471965078128
"37",00:00:00,"Hot water",2018,"Summer",87.5771550939806
"38",00:00:00,"Hot water",2018,"Winter",149.673643828168
"39",00:00:00,"Lighting",2014,"Autumn",26.9148218390805
"40",00:00:00,"Lighting",2014,"Spring",57.0334670791782
"41",00:00:00,"Lighting",2014,"Summer",44.1209880952381
"42",00:00:00,"Lighting",2014,"Winter",66.4454890788224
"43",00:00:00,"Lighting",2015,"Autumn",40.6676183324079
"44",00:00:00,"Lighting",2015,"Spring",43.2712663242023
"45",00:00:00,"Lighting",2015,"Summer",40.4089677729678
"46",00:00:00,"Lighting",2015,"Winter",50.4408434296365
"47",00:00:00,"Lighting",2016,"Autumn",40.8888367834038
"48",00:00:00,"Lighting",2016,"Spring",50.6456751304958
"49",00:00:00,"Lighting",2016,"Summer",41.8288886860256
"50",00:00:00,"Lighting",2016,"Winter",55.5664779978604
"51",00:00:00,"Lighting",2017,"Autumn",39.5239929534314
"52",00:00:00,"Lighting",2017,"Spring",40.0260016821122
"53",00:00:00,"Lighting",2017,"Summer",32.2961390009782
"54",00:00:00,"Lighting",2017,"Winter",49.5687726692209
"55",00:00:00,"Lighting",2018,"Autumn",33.8285545031282
"56",00:00:00,"Lighting",2018,"Summer",11.1060385706728
"57",00:00:00,"Lighting",2018,"Winter",54.5140808544226
"58",00:00:00,"Oven",2014,"Autumn",2.10526116838488
"59",00:00:00,"Oven",2014,"Spring",11.853513368984
"60",00:00:00,"Oven",2014,"Summer",17.0783127572016
"61",00:00:00,"Oven",2014,"Winter",13.3939850187266
"62",00:00:00,"Oven",2015,"Autumn",12.6494010011284
"63",00:00:00,"Oven",2015,"Spring",4.02680058524651
"64",00:00:00,"Oven",2015,"Summer",11.4340813953488
"65",00:00:00,"Oven",2015,"Winter",4.72680183802412
"66",00:00:00,"Oven",2016,"Autumn",1.07312299593204
"67",00:00:00,"Oven",2016,"Spring",1.32763327625571
"68",00:00:00,"Oven",2016,"Summer",1.87049760644999
"69",00:00:00,"Oven",2016,"Winter",4.9573812394502
"70",00:00:00,"Oven",2017,"Autumn",2.17289320987654
