circuitLabel,nObs,nDwellings,meanW
"Bed 2, 2nd Fridge",30311,1,80.1797336728469
Bedroom & Lounge Heat Pumps,70345,1,90.4843034330942
Bedrooms & Lounge,60754,1,130.087294033645
Cooking Bath tile heat,19412,1,135.770702102934
Downstairs (inc 1 Heat Pump),72683,1,7.25071747400898
Fridge,53096,2,81.0827760336026
Hallway & Washing Machine,12416,1,108.155740987697
Heat Pump,644577,18,90.9551702207425
Heat Pump & 2 x Bathroom Heat,19625,1,119.058261345358
Heat Pump & Bedroom 2,17605,1,153.405255654904
Heat Pump & Kitchen Appliances,58353,1,589.41257421676
Heat Pump & Lounge,70927,1,221.935274022795
Heat Pump & Misc,18124,1,176.614469017069
Heat Pump & Washing Machine,33684,1,113.522523144295
Heat Pump (x2) & Lounge Power,11618,1,330.66769825937
Heat Pumps (2x) & Power,81989,1,116.970626111566
Heat Pumps (2x) & Power1,19407,1,235.38991279571
Heat Pumps (2x) & Power2,19407,1,-66.2797764529563
Heat Pumps (2x) & Power_Imag,7583,1,-105.075756428118
Heating,47813,2,635.647000751365
Hob,102091,3,20.5183318003061
Hob & Kitchen Appliances,23570,1,349.553674582801
Hot Water,32452,2,305.402251826235
Hot Water  (2 elements),51274,1,394.892830797334
Hot Water - Controlled,995591,23,287.91896106922
Hot Water - Controlled (HEMS),72954,1,256.577056214823
Hot Water - Controlled1,19407,1,264.633198345617
Hot Water - Controlled2,19407,1,2.89276467629549
Hot Water - Controlled_Imag,7583,1,1.38508855797506
Hot Water - Uncontrolled,136539,4,308.662462975169
Hot Water Cpbd Heater- Cont,70927,1,76.9142885136819
Hot water,28401,1,216.747443920459
Incomer - All,384626,12,764.450124065418
Incomer - Uncontrolled,892855,17,758.33035432432
Incomer - Uncontrolled1,19407,1,1602.81889495112
Incomer - Uncontrolled2,19407,1,308.790043651872
Incomer - Uncontrolled_Imag,7583,1,164.224744552517
Incomer -Uncontrolled,58798,1,295.559231871388
Incomer 1,13040,1,693.701815552654
Incomer 1 - All,135061,2,-28.0904104079966
