X,Y,OBJECTID,MXLOCATION,type,status,description,GlobalID
1750929,5932699,1,ALB,ACSTN,COMMISSIONED,Albany,e3733d39-a6a2-4020-9697-ca2b52dc7868
1483256,5243850,2,APS,ACSTN,COMMISSIONED,Arthurs Pass,dcb34a8c-5624-487f-b6d1-49a3ffe5a462
1873657,5721161,3,ARA,ACSTN,COMMISSIONED,Aratiatia,ac0c91c6-f3d1-4a12-ae0f-029b56e1bf83
1616837,5386748,4,ARG,ACSTN,COMMISSIONED,Argyle,fd97cc11-d3b1-431f-abb6-b2a5020d4be9
1831847,5782925,5,ARI,ACSTN,COMMISSIONED,Arapuni,efc270bb-7efa-4859-a932-ef8157b1879d
1503871,5133909,6,ASB,ACSTN,COMMISSIONED,Ashburton,b494277d-4ef9-4a2c-aa12-5df412adcf0a
1569375,5209968,7,ASY,ACSTN,COMMISSIONED,Ashley,79382db7-42c2-48e2-a846-26d026c85a89
1863993,5746266,8,ATI,ACSTN,COMMISSIONED,Atiamuri,af55c130-a447-40ea-9e64-d513a81d7f15
1424397,5097843,9,ABY,ACSTN,COMMISSIONED,Albury,0d58db1a-6a03-411c-9ffc-3cfea5590bda
1567884,5179259,10,ADD,ACSTN,COMMISSIONED,Addington,c584badf-3ca8-48cc-8231-ab8b4cea4f85
1479770,5314014,11,ATU,ACSTN,COMMISSIONED,Atarau,4115f507-deda-4a11-808d-ae39370244fb
1390245,5051586,12,AVI,ACSTN,COMMISSIONED,Aviemore,98cf8ada-a39f-416e-bdf5-9e371d9b2abe
1350994,4875583,13,BAL,ACSTN,COMMISSIONED,Balclutha,96d0c374-a1ca-4e4b-bc4d-23bf6ac79602
1279333,4872602,14,BDE,ACSTN,COMMISSIONED,Brydone,f059d815-7f95-48a9-a1d7-5ef5239af4e0
1377232,5061385,15,BEN,ACSTN,COMMISSIONED,Benmore AC,2bdf5ed8-5f1f-483f-9c64-d4e4efe7282c
1677835,5405479,16,BLN,ACSTN,COMMISSIONED,Blenheim,7afc65a3-cedc-457a-9a8c-74d882176f84
1777554,5882318,17,BOB,ACSTN,COMMISSIONED,Bombay,22c81888-f690-41b7-ae4e-f5afc5c5f784
1774444.91,5906262.72,18,BHL,ACSTN,COMMISSIONED,Brownhill Road,8c147f7c-d4ff-4f94-a8d8-275392c3eb74
1438716,5027527,19,BPD,ACSTN,COMMISSIONED,Bells Pond,f84785dc-69bc-4895-a8ee-4606ba017fbb
1824482,5537672,20,BPE,ACSTN,COMMISSIONED,Bunnythorpe,8da9a184-37d9-466e-a950-29f98ac1a9cb
1426227.03,5027118.89,21,BPT,ACSTN,COMMISSIONED,Black Point,0b76ec8f-6f6f-4408-9c41-7c986ee118b7
1733637,6031785,22,BRB,ACSTN,COMMISSIONED,Bream Bay,83bb19f5-47a3-469f-a12b-76d3bc4e0703
1775381,5584691,23,BRK,ACSTN,COMMISSIONED,Brunswick,5f9133ac-8bcc-4ba7-9c41-2745569be12b
1575608,5180029,24,BRY,ACSTN,COMMISSIONED,Bromley,1942007b-9e1b-411b-b3ff-421ce7654d4f
1375380,4908481,25,BWK,ACSTN,COMMISSIONED,Berwick,08bf4c00-1750-4cc9-b2d4-66d298080068
1818482,5805622,26,CBG,ACSTN,COMMISSIONED,Cambridge,827436f9-defb-4f43-b152-548d234c4119
1496824,5214719,27,CLH,ACSTN,COMMISSIONED,Castle Hill,3d05f66d-4737-4ebe-8ded-d1eb703df52a
1300103,5003434,28,CML,ACSTN,COMMISSIONED,Cromwell,1ed12497-1842-496b-a7cb-af10f3b72c21
1480646,5197734,30,COL,ACSTN,COMMISSIONED,Coleridge,0ded1cc6-8bc2-4b99-aba1-51362c353dfc
1748149,5426363,31,CPK,ACSTN,COMMISSIONED,Central Park,20e1ad3a-b6f2-436e-8193-39c0a605eeca
1694035,5673654,32,CST,ACSTN,COMMISSIONED,Carrington Street,3cb60a5f-a7b4-4d9e-83b7-900b29f7601d
1589859,5270393,33,CUL,ACSTN,COMMISSIONED,Culverden,4b24cd49-467c-4d54-9709-4cec16d6e72f
1309791,4990371,34,CYD,ACSTN,COMMISSIONED,Clyde,16593154-02f0-4dda-976f-9fa90a208da5
1460288,5298504,35,DOB,ACSTN,COMMISSIONED,Dobson,31ab1290-0003-4819-9fb0-1a58fd155682
1774160,5889442,36,DRY,ACSTN,COMMISSIONED,Drury,c5007be7-3a34-497f-9079-5866e42bdbba
1858006,5546736,37,DVK,ACSTN,COMMISSIONED,Dannevirke,543fcdfe-2362-4623-abf4-abce6fa3a798
1936284,5788677,38,EDG,ACSTN,COMMISSIONED,Edgecumbe,ab47a41e-5d8f-415c-a885-67fcb73859d3
1274964,4862682,39,EDN,ACSTN,COMMISSIONED,Edendale,d8377930-b80b-4969-a95c-30932a936e44
1923083,5609948,40,FHL,ACSTN,COMMISSIONED,Fernhill,acdf0656-247e-4eb8-8870-3c7dc0affdaa
1264313,5007062,41,FKN,ACSTN,COMMISSIONED,Frankton,06d2c6a1-ad66-4493-bd48-c769536276ab
1760647,5432797,42,GFD,ACSTN,COMMISSIONED,Gracefield,3b2d5024-0335-445d-9d87-5bbbc0e0d9cc
1753635,5881167,44,GLN,ACSTN,COMMISSIONED,Glenbrook,5a615f09-7a94-4ebf-ab20-6b9b1b93d1a8
1453179,5298172,45,GYM,ACSTN,COMMISSIONED,Greymouth,03e6925b-9551-4dc6-ab66-6fcd14f4716f
1804621,5445253,46,GYT,ACSTN,COMMISSIONED,Greytown,301dc01f-7d91-4d44-adc9-d23c181b8251
1802987,5816159,47,HAM,ACSTN,COMMISSIONED,Hamilton,ae770250-4dd9-44b3-aaf5-c48d9d614de6
1766258,5442603,48,HAY,ACSTN,COMMISSIONED,Haywards AC,68e84586-4d0f-46e7-9817-8fb17c1ad74d
1744226,5921548,49,HEN,ACSTN,COMMISSIONED,Henderson,9656e98f-3e84-4b05-b02f-7ee7ea5a5ec8
1747934,5916486,50,HEP,ACSTN,COMMISSIONED,Hepburn Road,3f3fcf3c-6461-495e-9930-d755e4aa1a1e
