region,regionName,r_dateTimeHalfHour,weekdays,peakPeriod,sumkWh,month
h,Hawke's bay,2015-07-09T23:00:00Z,Weekdays,Day time,95432,Jul
h,Hawke's bay,2015-07-09T05:30:00Z,Weekdays,Evening peak,94725,Jul
h,Hawke's bay,2015-07-09T23:30:00Z,Weekdays,Day time,94214,Jul
h,Hawke's bay,2015-06-25T21:30:00Z,Weekdays,Day time,94115,Jun
h,Hawke's bay,2015-06-23T05:30:00Z,Weekdays,Evening peak,94018,Jun
h,Hawke's bay,2015-07-08T23:00:00Z,Weekdays,Day time,93898,Jul
h,Hawke's bay,2015-07-13T22:30:00Z,Weekdays,Day time,93834,Jul
h,Hawke's bay,2015-07-30T20:30:00Z,Weekdays,Morning peak,93627,Jul
h,Hawke's bay,2015-07-09T06:00:00Z,Weekdays,Evening peak,93603,Jul
h,Hawke's bay,2015-07-20T21:00:00Z,Weekdays,Day time,92724,Jul
h,Hawke's bay,2015-06-25T21:00:00Z,Weekdays,Day time,92421,Jun
h,Hawke's bay,2015-06-24T05:30:00Z,Weekdays,Evening peak,92288,Jun
h,Hawke's bay,2015-07-09T04:30:00Z,Weekdays,Day time,92265,Jul
h,Hawke's bay,2015-08-13T21:30:00Z,Weekdays,Day time,91996,Aug
h,Hawke's bay,2015-07-30T21:00:00Z,Weekdays,Day time,91973,Jul
h,Hawke's bay,2015-07-13T22:00:00Z,Weekdays,Day time,91956,Jul
h,Hawke's bay,2015-06-23T06:00:00Z,Weekdays,Evening peak,91795,Jun
h,Hawke's bay,2015-07-09T05:00:00Z,Weekdays,Evening peak,91654,Jul
h,Hawke's bay,2015-06-24T05:00:00Z,Weekdays,Evening peak,91522,Jun
h,Hawke's bay,2015-07-09T22:30:00Z,Weekdays,Day time,91397,Jul
h,Hawke's bay,2015-07-09T06:30:00Z,Weekdays,Evening peak,91368,Jul
h,Hawke's bay,2015-07-08T23:30:00Z,Weekdays,Day time,91283,Jul
h,Hawke's bay,2015-07-10T00:00:00Z,Weekdays,Day time,91176,Jul
h,Hawke's bay,2015-06-23T05:00:00Z,Weekdays,Evening peak,91158,Jun
h,Hawke's bay,2015-06-25T05:30:00Z,Weekdays,Evening peak,90936,Jun
h,Hawke's bay,2015-06-24T06:00:00Z,Weekdays,Evening peak,90740,Jun
h,Hawke's bay,2015-06-24T07:30:00Z,Weekdays,Evening peak,90701,Jun
h,Hawke's bay,2015-07-19T22:30:00Z,Weekdays,Day time,90688,Jul
h,Hawke's bay,2015-06-25T08:00:00Z,Weekdays,Evening peak,90403,Jun
h,Hawke's bay,2015-06-24T06:30:00Z,Weekdays,Evening peak,90390,Jun
h,Hawke's bay,2015-06-24T07:00:00Z,Weekdays,Evening peak,90047,Jun
h,Hawke's bay,2015-06-25T07:30:00Z,Weekdays,Evening peak,89918,Jun
h,Hawke's bay,2015-07-09T09:30:00Z,Weekdays,Late evening,89857,Jul
h,Hawke's bay,2015-06-24T04:30:00Z,Weekdays,Day time,89853,Jun
h,Hawke's bay,2015-07-08T09:00:00Z,Weekdays,Late evening,89838,Jul
h,Hawke's bay,2015-06-23T06:30:00Z,Weekdays,Evening peak,89756,Jun
h,Hawke's bay,2015-06-24T19:30:00Z,Weekdays,Morning peak,89746,Jun
h,Hawke's bay,2015-06-22T05:30:00Z,Weekdays,Evening peak,89581,Jun
h,Hawke's bay,2015-06-23T19:30:00Z,Weekdays,Morning peak,89540,Jun
h,Hawke's bay,2015-06-24T08:00:00Z,Weekdays,Evening peak,89492,Jun
h,Hawke's bay,2015-07-08T05:30:00Z,Weekdays,Evening peak,89432,Jul
h,Hawke's bay,2015-06-24T20:00:00Z,Weekdays,Morning peak,89318,Jun
h,Hawke's bay,2015-07-23T21:30:00Z,Weekdays,Day time,89180,Jul
h,Hawke's bay,2015-07-22T21:30:00Z,Weekdays,Day time,89131,Jul
h,Hawke's bay,2015-07-08T22:00:00Z,Weekdays,Day time,89102,Jul
h,Hawke's bay,2015-06-22T05:00:00Z,Weekdays,Evening peak,89078,Jun
h,Hawke's bay,2015-06-23T04:30:00Z,Weekdays,Day time,89069,Jun
h,Hawke's bay,2015-07-30T06:30:00Z,Weekdays,Evening peak,88949,Jul
h,Hawke's bay,2015-07-07T21:00:00Z,Weekdays,Day time,88948,Jul
h,Hawke's bay,2015-06-24T01:00:00Z,Weekdays,Day time,88843,Jun
h,Hawke's bay,2015-06-23T20:00:00Z,Weekdays,Morning peak,88820,Jun
h,Hawke's bay,2015-07-12T22:30:00Z,Weekdays,Day time,88816,Jul
h,Hawke's bay,2015-06-25T20:00:00Z,Weekdays,Morning peak,88742,Jun
h,Hawke's bay,2015-07-09T07:00:00Z,Weekdays,Evening peak,88702,Jul
h,Hawke's bay,2015-07-20T20:30:00Z,Weekdays,Morning peak,88667,Jul
h,Hawke's bay,2015-07-23T19:30:00Z,Weekdays,Morning peak,88637,Jul
h,Hawke's bay,2015-05-19T05:30:00Z,Weekdays,Evening peak,88613,May
h,Hawke's bay,2015-07-09T00:00:00Z,Weekdays,Day time,88600,Jul
h,Hawke's bay,2015-06-24T00:00:00Z,Weekdays,Day time,88580,Jun
h,Hawke's bay,2015-07-30T06:00:00Z,Weekdays,Evening peak,88549,Jul
h,Hawke's bay,2015-07-08T06:00:00Z,Weekdays,Evening peak,88525,Jul
h,Hawke's bay,2015-05-25T05:30:00Z,Weekdays,Evening peak,88514,May
