linkID,eecaCircuit,avgPeakDemandW
rf_01,Heat Pump or Heating,2049.78943739242
rf_01,Hot water,135.691952093398
rf_01,Lighting,213.489304222889
rf_01,Other,342.91816804098
rf_01,Oven,70.2095938003221
rf_01,Total,2812.09845555
rf_06,Hot water,462.728256630944
rf_06,Lighting,416.236774503181
rf_06,Other,505.421636606159
rf_06,Oven,144.911537778905
rf_06,Total,1539.34929518188
rf_07,Other,956.671448878311
rf_07,Oven,220.41396736926
rf_07,Total,1177.08541624757
rf_08,Heat Pump or Heating,466.730997737243
rf_08,Hot water,761.839495585541
rf_08,Other,817.901403312233
rf_08,Oven,171.722619245933
rf_08,Total,2218.19451588095
rf_09,Total,1977.34943868313
rf_10,Heat Pump or Heating,300.845950483092
rf_10,Other,995.94534956133
rf_10,Oven,97.8705036231884
rf_10,Total,1394.66180366761
rf_11,Hot water,52.5906443602694
rf_11,Other,2037.57638299663
rf_11,Total,2090.1670273569
rf_12,Hot water,587.541555555556
rf_12,Other,356.309166666667
rf_12,Oven,540.638685185185
rf_12,Total,1484.48940740741
rf_13,Heat Pump or Heating,972.101109903382
rf_13,Hot water,183.670930756844
rf_13,Other,1832.79736070853
rf_13,Oven,461.635305555556
rf_13,Total,3450.20470692432
rf_15b,Hot water,555.524579755892
rf_15b,Other,1547.45126277658
rf_15b,Oven,61.3311590909091
rf_15b,Total,2164.30700162338
rf_17a,Heat Pump or Heating,238.794359903382
rf_17a,Hot water,0.00036231884057971
rf_17a,Other,1114.94540812927
rf_17a,Total,1353.74013035149
rf_18,Hot water,661.814214814815
rf_18,Other,2478.7863962963
rf_18,Oven,140.7802
rf_18,Total,3281.38081111111
rf_19,Heat Pump or Heating,17.6019669887279
rf_19,Other,1507.5604794686
rf_19,Oven,2.60543156199678
rf_19,Total,1527.76787801932
rf_20,Hot water,745.623981481482
rf_20,Other,424.022688888889
rf_20,Oven,583.576840740741
rf_20,Total,1753.22351111111
rf_21,Other,907.270683172303
rf_21,Oven,11.6399339774557
rf_21,Total,918.910617149758
rf_22,Hot water,608.799201260481
rf_22,Lighting,881.997466405686
rf_22,Other,1513.97984006608
rf_22,Oven,119.757905769338
rf_22,Total,3124.53441350158
rf_23,Hot water,268.633957729469
rf_23,Other,2010.49792190016
rf_23,Oven,78.9174927536232
rf_23,Total,2358.04937238325
rf_24,Hot water,78.287155
rf_24,Other,478.142133299067
rf_24,Oven,135.3565775
rf_24,Total,692.321313750195
rf_27,Heat Pump or Heating,653.559287037037
rf_27,Hot water,229.995413043478
rf_27,Other,1407.68817069243
rf_27,Oven,173.071475845411
rf_27,Total,2464.31434661836
rf_29,Hot water,883.38090871231
rf_29,Lighting,298.934549808429
rf_29,Other,2152.63452082292
rf_29,Oven,61.338578099839
rf_29,Total,3396.2885574435
rf_30,Hot water,30.9605253623189
rf_30,Lighting,542.63065821256
rf_30,Other,424.683339774557
rf_30,Oven,147.422279388084
rf_30,Total,1145.69680273752
rf_31,Heat Pump or Heating,368.116430354267
rf_31,Hot water,359.894481481482
rf_31,Lighting,296.712988727858
rf_31,Other,555.146683172303
rf_31,Total,1579.87058373591
rf_32,Heat Pump or Heating,290.56183116775
rf_32,Hot water,440.175011452607
rf_32,Lighting,153.417442389916
rf_32,Other,976.978183949692
rf_32,Total,1861.13246895996
rf_33,Hot water,568.309220764618
rf_33,Lighting,105.925479315898
rf_33,Other,1109.3832680743
rf_33,Oven,190.529549919485
rf_33,Total,1974.1475180743
rf_34,Heat Pump or Heating,988.563748357303
rf_34,Hot water,100.870835429507
rf_34,Lighting,299.96233694881
rf_34,Other,822.488671818412
rf_34,Total,2211.88559255403
rf_35,Heat Pump or Heating,268.654683699817
rf_35,Hot water,243.069663168416
rf_35,Lighting,125.729225789883
rf_35,Other,1788.68807980732
rf_35,Total,2426.14165246543
rf_36,Heat Pump or Heating,579.766013632073
rf_36,Hot water,605.839965114178
rf_36,Lighting,202.495012785274
rf_36,Other,858.344563079404
rf_36,Total,2249.98814173469
rf_37,Heat Pump or Heating,396.394206327392
rf_37,Hot water,623.443708937198
rf_37,Lighting,106.324677286357
rf_37,Other,462.352710006108
rf_37,Total,1588.51530255705
rf_38,Heat Pump or Heating,847.067149702926
rf_38,Hot water,450.886574893109
rf_38,Lighting,204.5445292215
rf_38,Other,431.264684477206
rf_38,Total,1933.76293829474
rf_39,Hot water,568.284766505636
rf_39,Lighting,485.822387084236
rf_39,Other,2655.53231349603
rf_39,Oven,248.648449566883
rf_39,Total,3958.28791665279
rf_40,Hot water,609.751067382975
rf_40,Lighting,331.123981928228
rf_40,Other,839.609342259426
rf_40,Total,1780.48439157063
rf_41,Heat Pump or Heating,117.044743628186
rf_41,Lighting,641.248338275307
rf_41,Other,1117.36131158495
rf_41,Oven,130.974565217391
rf_41,Total,2006.62895870583
rf_42,Heat Pump or Heating,325.988813296055
rf_42,Hot water,1041.77993493987
rf_42,Lighting,1289.11511021507
rf_42,Other,579.484392404368
rf_42,Total,3236.36825085536
rf_44,Heat Pump or Heating,894.219956493975
rf_44,Hot water,1131.94314927259
rf_44,Lighting,337.363537481259
rf_44,Other,771.032939544117
rf_44,Total,3134.55958279194
rf_45,Heat Pump or Heating,418.79668015992
rf_45,Hot water,618.768826558943
rf_45,Lighting,374.529842453773
rf_45,Other,520.040414084624
rf_45,Total,1932.13576325726
rf_47,Lighting,86.7446493419957
rf_47,Other,1311.93621927718
rf_47,Oven,85.8805833333333
rf_47,Total,1530.10593392193
