region,regionName,Time_Period,hours,rDateTime,weekdays,peakPeriod,sumkWh,nObs,nRegions,nPOCs,nNetworks,nGenTypes,month
t,Taranaki,TP37,18,2015-08-11T06:00:00Z,Weekdays,Evening peak,83244,8,1,7,2,2,Aug
t,Taranaki,TP38,18,2015-08-11T06:30:00Z,Weekdays,Evening peak,82281,8,1,7,2,2,Aug
t,Taranaki,TP37,18,2015-08-10T06:00:00Z,Weekdays,Evening peak,81820,8,1,7,2,2,Aug
t,Taranaki,TP37,18,2015-08-18T06:00:00Z,Weekdays,Evening peak,81664,8,1,7,2,2,Aug
t,Taranaki,TP36,17,2015-08-18T05:30:00Z,Weekdays,Evening peak,81582,8,1,7,2,2,Aug
t,Taranaki,TP36,17,2015-06-22T05:30:00Z,Weekdays,Evening peak,81563,8,1,7,2,2,Jun
t,Taranaki,TP36,17,2015-08-31T05:30:00Z,Weekdays,Evening peak,81461,8,1,7,2,2,Aug
t,Taranaki,TP36,17,2015-08-24T05:30:00Z,Weekdays,Evening peak,80993,8,1,7,2,2,Aug
t,Taranaki,TP36,17,2015-06-23T05:30:00Z,Weekdays,Evening peak,80841,8,1,7,2,2,Jun
t,Taranaki,TP37,18,2015-08-24T06:00:00Z,Weekdays,Evening peak,80661,8,1,7,2,2,Aug
t,Taranaki,TP38,18,2015-08-10T06:30:00Z,Weekdays,Evening peak,80610,8,1,7,2,2,Aug
t,Taranaki,TP37,18,2015-08-31T06:00:00Z,Weekdays,Evening peak,80428,8,1,7,2,2,Aug
t,Taranaki,TP37,18,2015-06-23T06:00:00Z,Weekdays,Evening peak,80357,8,1,7,2,2,Jun
t,Taranaki,TP16,7,2015-08-10T19:30:00Z,Weekdays,Morning peak,80332,8,1,7,2,2,Aug
t,Taranaki,TP36,17,2015-08-11T05:30:00Z,Weekdays,Evening peak,80120,8,1,7,2,2,Aug
t,Taranaki,TP37,18,2015-06-22T06:00:00Z,Weekdays,Evening peak,80051,8,1,7,2,2,Jun
t,Taranaki,TP16,7,2015-08-12T19:30:00Z,Weekdays,Morning peak,79741,8,1,7,2,2,Aug
t,Taranaki,TP39,19,2015-08-11T07:00:00Z,Weekdays,Evening peak,79711,8,1,7,2,2,Aug
t,Taranaki,TP35,17,2015-08-31T05:00:00Z,Weekdays,Evening peak,79696,8,1,7,2,2,Aug
t,Taranaki,TP17,8,2015-08-10T20:00:00Z,Weekdays,Morning peak,79692,8,1,7,2,2,Aug
t,Taranaki,TP37,18,2015-08-19T06:00:00Z,Weekdays,Evening peak,79672,8,1,7,2,2,Aug
t,Taranaki,TP16,7,2015-08-11T19:30:00Z,Weekdays,Morning peak,79655,8,1,7,2,2,Aug
t,Taranaki,TP17,8,2015-08-11T20:00:00Z,Weekdays,Morning peak,79512,8,1,7,2,2,Aug
t,Taranaki,TP38,18,2015-08-18T06:30:00Z,Weekdays,Evening peak,79429,8,1,7,2,2,Aug
t,Taranaki,TP36,17,2015-08-04T05:30:00Z,Weekdays,Evening peak,79372,8,1,7,2,2,Aug
t,Taranaki,TP37,18,2015-08-07T06:00:00Z,Weekdays,Evening peak,79303,8,1,7,2,2,Aug
t,Taranaki,TP36,17,2015-08-05T05:30:00Z,Weekdays,Evening peak,79173,8,1,7,2,2,Aug
t,Taranaki,TP16,7,2015-08-27T19:30:00Z,Weekdays,Morning peak,79093,8,1,7,2,2,Aug
t,Taranaki,TP36,17,2015-06-24T05:30:00Z,Weekdays,Evening peak,79075,8,1,7,2,2,Jun
